Order ID,Order Date,Customer ID,Product Category,Sales,Quantity,Profit,Discount
ORD10001,2025-11-24,CUST1094,Furniture,240.44,5,22.11,0.05
ORD10002,2025-12-13,CUST1004,Furniture,1486.52,9,337.66,0.0
ORD10003,2025-02-17,CUST1025,Technology,452.9,9,-19.04,0.2
ORD10004,2025-11-29,CUST1035,Furniture,1408.62,7,225.04,0.05
ORD10005,2025-03-23,CUST1097,Office Supplies,1402.32,6,65.41,0.1
ORD10006,2025-02-22,CUST1077,Office Supplies,203.64,2,51.78,0.1
ORD10007,2025-01-23,CUST1048,Furniture,1464.87,9,500.89,0.0
ORD10008,2025-10-10,CUST1090,Furniture,600.49,10,104.01,0.1
ORD10009,2025-01-24,CUST1012,Office Supplies,1329.3,5,407.56,0.0
ORD10010,2025-05-23,CUST1026,Technology,917.75,6,124.86,0.05
ORD10011,2025-05-17,CUST1068,Technology,1409.6,2,198.04,0.2
ORD10012,2025-05-06,CUST1081,Technology,343.54,7,101.98,0.1
ORD10013,2025-10-13,CUST1004,Office Supplies,454.84,6,54.0,0.0
ORD10014,2025-07-25,CUST1040,Furniture,550.13,4,117.13,0.2
ORD10015,2025-12-02,CUST1031,Technology,1008.48,8,105.35,0.05
ORD10016,2025-10-15,CUST1051,Office Supplies,1087.18,10,265.65,0.15
ORD10017,2025-04-23,CUST1096,Furniture,1994.71,3,195.59,0.2
ORD10018,2025-02-26,CUST1008,Office Supplies,322.63,3,8.6,0.3
ORD10019,2025-07-15,CUST1070,Furniture,1199.86,8,30.51,0.2
ORD10020,2025-12-15,CUST1043,Furniture,1447.03,9,333.66,0.1
ORD10021,2025-05-31,CUST1092,Office Supplies,880.84,8,296.09,0.0
ORD10022,2025-09-14,CUST1038,Technology,1528.69,9,475.66,0.0
ORD10023,2025-09-17,CUST1069,Technology,1225.76,3,280.4,0.1
ORD10024,2025-01-01,CUST1046,Office Supplies,1205.91,8,100.77,0.0
ORD10025,2025-05-03,CUST1062,Furniture,134.69,10,10.2,0.0
ORD10026,2025-09-30,CUST1070,Furniture,1536.35,3,65.43,0.3
ORD10027,2025-05-16,CUST1069,Technology,1064.79,10,281.43,0.15
ORD10028,2025-12-20,CUST1083,Office Supplies,418.28,5,114.42,0.15
ORD10029,2025-08-13,CUST1008,Office Supplies,1801.24,8,224.02,0.0
ORD10030,2025-01-11,CUST1009,Technology,1184.85,4,19.03,0.2
ORD10031,2025-11-20,CUST1009,Technology,136.57,2,42.05,0.0
ORD10032,2025-05-02,CUST1092,Technology,571.38,8,106.72,0.05
ORD10033,2025-10-23,CUST1012,Technology,955.89,8,30.71,0.15
ORD10034,2025-08-09,CUST1006,Technology,721.51,7,168.94,0.15
ORD10035,2025-12-01,CUST1043,Furniture,1968.65,2,336.22,0.0
ORD10036,2025-05-08,CUST1023,Office Supplies,399.35,9,6.81,0.15
ORD10037,2025-08-25,CUST1070,Furniture,514.62,2,111.88,0.15
ORD10038,2025-01-26,CUST1096,Furniture,1311.25,9,446.74,0.0
ORD10039,2025-03-27,CUST1007,Furniture,824.7,8,234.54,0.05
ORD10040,2025-07-14,CUST1058,Office Supplies,24.27,7,6.75,0.1
ORD10041,2025-08-05,CUST1019,Furniture,1399.25,9,161.64,0.3
ORD10042,2025-06-01,CUST1007,Technology,451.05,1,77.0,0.2
ORD10043,2025-06-10,CUST1067,Furniture,133.19,10,16.76,0.15
ORD10044,2025-01-30,CUST1008,Technology,1922.34,2,87.57,0.05
ORD10045,2025-05-01,CUST1005,Technology,819.48,10,162.81,0.05
ORD10046,2025-02-11,CUST1033,Furniture,850.07,10,90.82,0.2
ORD10047,2025-12-09,CUST1085,Technology,1438.06,4,170.75,0.1
ORD10048,2025-06-03,CUST1072,Furniture,925.3,2,173.48,0.0
ORD10049,2025-02-07,CUST1044,Furniture,1084.52,9,43.1,0.1
ORD10050,2025-05-06,CUST1090,Office Supplies,751.66,3,169.22,0.15
ORD10051,2025-11-10,CUST1070,Office Supplies,1968.03,9,492.71,0.0
ORD10052,2025-12-06,CUST1013,Technology,225.1,3,7.79,0.1
ORD10053,2025-10-11,CUST1043,Furniture,327.79,5,4.32,0.2
ORD10054,2025-12-18,CUST1006,Furniture,1275.79,5,123.19,0.2
ORD10055,2025-11-21,CUST1098,Furniture,858.68,5,43.85,0.0
ORD10056,2025-11-23,CUST1090,Office Supplies,1960.0,3,63.8,0.3
ORD10057,2025-10-15,CUST1069,Furniture,39.15,2,6.7,0.3
ORD10058,2025-07-09,CUST1039,Office Supplies,1173.37,3,15.53,0.15
ORD10059,2025-01-21,CUST1013,Office Supplies,1799.87,4,-45.25,0.3
